epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1888.52,1.01686,0.63856,1.12389,0.91256,0.68513,0.72005,0.36947,1.36079,0.7537,1.34183,0.000442469,0.000442469,0.000442469
61,1919.99,0.95556,0.62015,1.09686,0.58481,0.67583,0.69707,0.36456,1.3167,0.81036,1.34488,0.000439375,0.000439375,0.000439375
62,1951.37,0.97255,0.60363,1.09978,0.71233,0.67237,0.70177,0.37456,1.3711,0.85677,1.39072,0.000436281,0.000436281,0.000436281
63,1983.11,0.962,0.61683,1.09942,0.72773,0.63948,0.67402,0.32864,1.34015,0.89229,1.40313,0.000433187,0.000433187,0.000433187
64,2014.65,0.97966,0.63008,1.11091,0.75479,0.65833,0.68371,0.35825,1.28527,0.92953,1.33537,0.000430094,0.000430094,0.000430094
65,2045.87,0.90201,0.58566,1.08108,0.86886,0.65628,0.70539,0.35147,1.33454,0.82964,1.34457,0.000427,0.000427,0.000427
66,2077.05,0.90765,0.58119,1.07914,0.87744,0.64101,0.70205,0.37474,1.3079,0.85709,1.33248,0.000423906,0.000423906,0.000423906
67,2108.1,0.91254,0.59231,1.07182,0.92633,0.6453,0.68968,0.36189,1.35631,0.75218,1.35938,0.000420812,0.000420812,0.000420812
68,2139.44,0.93995,0.59217,1.10476,0.92977,0.63003,0.71848,0.37061,1.34365,0.74285,1.36116,0.000417719,0.000417719,0.000417719
69,2170.57,0.91605,0.56261,1.07101,0.74701,0.68178,0.73614,0.35785,1.34869,0.75959,1.34616,0.000414625,0.000414625,0.000414625
70,2201.66,0.93046,0.58764,1.07825,0.9387,0.65334,0.68893,0.36155,1.28873,0.79411,1.31417,0.000411531,0.000411531,0.000411531
71,2232.93,0.94541,0.57056,1.09097,0.91477,0.65234,0.67501,0.34401,1.32254,0.77332,1.33615,0.000408438,0.000408438,0.000408438
72,2264.22,0.92995,0.59787,1.09351,0.92522,0.65249,0.66551,0.34426,1.27996,0.79193,1.32086,0.000405344,0.000405344,0.000405344
73,2295.35,0.90434,0.57037,1.07421,0.86063,0.65833,0.67645,0.32932,1.31433,0.8219,1.34018,0.00040225,0.00040225,0.00040225
74,2326.83,0.89631,0.57136,1.07367,0.90971,0.65452,0.69167,0.34902,1.31751,0.77955,1.33481,0.000399156,0.000399156,0.000399156
